period,year,month,wheat_hrw_usd_t,wheat_srw_usd_t,barley_usd_t,maize_usd_t,rapeseed_oil_usd_t,sunflower_oil_usd_t,soybean_oil_usd_t,palm_oil_usd_t,dap_fertilizer_usd_t,urea_fertilizer_usd_t,source
1990M01,1990,1,167.92,163.0,75.57,105.6,,,417.0,279.0,138.5,104.5,WorldBank_PinkSheet
1990M02,1990,2,160.94,155.52,73.86,106.07,,,428.0,271.0,139.75,106.25,WorldBank_PinkSheet
1990M03,1990,3,156.53,153.26,70.04,109.7,,,442.0,286.0,146.0,111.0,WorldBank_PinkSheet
1990M04,1990,4,159.47,150.69,68.77,118.82,,,440.0,267.0,155.2,111.0,WorldBank_PinkSheet
1990M05,1990,5,149.18,133.49,71.03,121.04,,,449.0,281.0,149.125,107.0,WorldBank_PinkSheet
1990M06,1990,6,135.58,130.49,80.23,120.86,,,435.0,272.0,152.75,107.0,WorldBank_PinkSheet
1990M07,1990,7,124.93,119.55,77.99,114.91,,,437.0,279.0,160.7,107.0,WorldBank_PinkSheet
1990M08,1990,8,116.84,115.12,83.78,110.05,,,460.0,291.0,160.5,114.875,WorldBank_PinkSheet
1990M09,1990,9,114.27,108.46,88.39,101.52,,,461.0,284.0,165.875,90.625,WorldBank_PinkSheet
1990M10,1990,10,114.64,104.77,88.16,100.34,,,468.0,290.0,165.7,136.5,WorldBank_PinkSheet
1990M11,1990,11,112.8,106.37,91.47,100.39,,,455.0,331.0,163.375,144.5,WorldBank_PinkSheet
1990M12,1990,12,113.17,108.35,89.81,102.01,,,476.0,346.0,158.625,147.5,WorldBank_PinkSheet
1991M01,1991,1,111.33,107.07,93.88,105.67,,,455.0,349.0,157.375,151.0,WorldBank_PinkSheet
1991M02,1991,2,113.91,106.37,92.04,106.1,,,445.0,338.0,160.625,151.0,WorldBank_PinkSheet
1991M03,1991,3,119.42,116.16,88.09,109.54,,,453.0,348.0,163.625,145.0,WorldBank_PinkSheet
1991M04,1991,4,120.89,117.05,85.15,110.33,,,460.0,319.0,166.0,143.5,WorldBank_PinkSheet
1991M05,1991,5,121.99,115.63,85.3,105.7,,,444.0,318.0,165.25,138.5,WorldBank_PinkSheet
1991M06,1991,6,120.15,118.18,71.28,104.21,,,440.0,311.0,159.25,135.5,WorldBank_PinkSheet
1991M07,1991,7,118.31,116.23,72.27,105.11,,,431.0,341.0,163.5,132.5,WorldBank_PinkSheet
1991M08,1991,8,125.3,127.06,67.06,110.43,,,457.0,338.0,161.875,132.5,WorldBank_PinkSheet
1991M09,1991,9,135.22,137.56,67.43,108.85,,,468.0,323.0,159.5,132.5,WorldBank_PinkSheet
1991M10,1991,10,146.97,147.2,68.21,109.7,,,485.0,345.0,155.0,132.5,WorldBank_PinkSheet
1991M11,1991,11,149.55,147.04,73.3,106.49,,,466.0,362.0,143.5,134.375,WorldBank_PinkSheet
1991M12,1991,12,160.94,157.81,75.43,106.91,,,442.0,376.0,143.5,131.875,WorldBank_PinkSheet
1992M01,1992,1,170.12,167.26,73.42,109.31,,,429.0,383.0,145.25,122.5,WorldBank_PinkSheet
1992M02,1992,2,177.1,170.12,71.28,113.62,,,414.0,382.0,147.875,120.625,WorldBank_PinkSheet
1992M03,1992,3,169.39,161.44,72.64,117.0,,,434.0,396.0,144.8,120.0,WorldBank_PinkSheet
1992M04,1992,4,159.83,153.07,75.23,108.52,,,425.0,402.0,142.75,120.0,WorldBank_PinkSheet
1992M05,1992,5,149.55,139.72,84.78,109.64,,,439.0,390.0,140.5,120.0,WorldBank_PinkSheet
1992M06,1992,6,148.81,140.36,84.89,110.9,,,456.0,404.0,143.5,120.0,WorldBank_PinkSheet
1992M07,1992,7,136.32,129.93,77.37,102.75,,,429.0,382.0,146.0,120.0,WorldBank_PinkSheet
1992M08,1992,8,128.24,118.8,77.04,96.96,,,409.0,382.0,131.4,120.0,WorldBank_PinkSheet
1992M09,1992,9,138.89,131.47,83.57,98.05,,,421.0,391.0,131.25,120.0,WorldBank_PinkSheet
1992M10,1992,10,140.73,137.42,82.21,95.11,,,418.0,396.0,130.125,116.875,WorldBank_PinkSheet
1992M11,1992,11,147.71,145.84,82.12,94.48,,,437.0,413.0,126.4,107.5,WorldBank_PinkSheet
1992M12,1992,12,147.71,146.27,79.55,94.61,,,436.0,401.0,124.625,103.75,WorldBank_PinkSheet
1993M01,1993,1,155.79,156.92,75.08,94.21,,,444.0,410.0,123.75,102.5,WorldBank_PinkSheet
1993M02,1993,2,148.81,149.43,74.83,94.38,,,433.0,425.0,120.25,102.5,WorldBank_PinkSheet
1993M03,1993,3,148.08,145.46,75.16,97.14,,,438.0,408.0,115.1,86.2,WorldBank_PinkSheet
1993M04,1993,4,141.83,156.34,77.45,100.55,,,448.0,392.0,112.75,81.0,WorldBank_PinkSheet
1993M05,1993,5,136.69,140.09,77.46,98.59,,,448.0,371.0,115.1,81.0,WorldBank_PinkSheet
